Respondant Number,"Pick one in [30, 35]","[30,35], non-mimetic","Pick one in [45, 50]","[45,50], non-mimetic","Pick one in [63,67]","[63,67], non-mimetic","Pick one in [0,10]","[0,10], non-mimetic","Pick one in [77, 87]","[77,87], non-mimetic","Optional: feel free to explain any of your answers here, and/or write general thoughts/reflections you might have."
40,31,31,47,47,67,67,0,0,86,86,I have a very hard time imagining remembering any public space conversation where I keep the number but lose the question lol
41,34,34,49,49,66,66,7,7,77,77,
42,33,33,49,49,67,67,6,6,81,81,
43,33,33,47,47,67,67,1,1,84,84,
44,34,34,47,47,66,66,7,7,86,86,"numbers that are not multiples of 10, 5, and 2 are funniest. but also six and eight have good silly shapes"
45,33,33,49,49,66,66,3,3,83,83,
46,32,32,49,49,63,63,7,7,82,82,
47,35,35,50,50,65,65,3,3,81,81,
48,32,32,48,48,67,67,0,0,81,81,"I think they’re funnier if they can’t be Immediately explained as an answer to an ‘everyday’ question. E.g. for 0-10, 0 is funniest because 1-10 could be explained as someone answering with a time. If the question was to rank something, the scale is usually 1-10 so 0 would, in my mind, be pronounced disapproval/dislike for something that you would feel the need to leave the regular scale to express it. "
49,31,31,46,46,63,63,6,6,86,86,
50,31,31,47,47,67,67,7,7,83,83,The pretext does not change anything
51,34,34,49,49,63,63,3,3,85,85,
52,31,31,49,49,66,66,0,0,87,87,
53,31,31,49,49,66,66,0,0,87,87,
54,33,33,49,49,67,67,7,7,79,79,"Previous answers remain the same, except for 7, as a family member has a running bit of responding ""seven"" to any question they don't know the answer to"
55,31,31,47,47,63,63,7,7,79,79,
56,34,34,46,46,66,,1,1,87,87,
57,34,34,49,49,66,66,4,4,83,83,
58,35,35,47,47,65,65,3,3,87,87,Extremeish with their respective scales
59,34,34,49,49,64,64,0,0,80,80,I have no idea what you're talking about
60,30,30,49,49,64,64,0,0,87,87,
61,33,33,49,49,63,63,8,8,83,83,
62,35,35,50,50,67,67,10,10,87,87,Higher numbers are always funnier.
63,33,,47,47,63,63,7,7,83,83,they seem like very specific numbers rather than rounded to an even number or multiple of five 
64,35,35,47,47,66,66,10,10,83,83,"69,420,42"
65,35,35,47,47,66,66,9,9,87,87,I don't really know sorry. 
66,34,34,46,46,66,66,0,0,79,79,
67,30,30,50,50,63,63,0,0,80,80,
68,35,35,50,50,64,64,0,0,81,81,Something about perfect squares is funny to me. 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,, ,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
